"","PLT_CN","LAT","LON"
"1",20218604010478,30.820101,-86.580332
"2",20221309010478,29.610953,-81.791887
"3",20223337010478,30.012443,-82.817479
"4",20223805010478,28.73787,-80.992647
"5",20224029010478,30.229592,-84.454946
"6",20224497010478,30.507525,-86.100857
"7",20224798010478,30.596978,-85.492829
"8",20225825010478,27.125096,-81.639645
"9",20226144010478,30.530833,-81.599308
"10",20226892010478,30.628317,-84.480352
"11",20227587010478,29.99899,-85.134619
"12",20230632010478,30.241594,-83.316731
"13",20231060010478,26.489282,-81.866392
"14",20233384010478,30.499431,-86.674514
"15",20233591010478,29.432915,-82.766471
"16",20234320010478,30.034202,-84.85125
"17",20234959010478,30.359213,-83.601829
"18",20235963010478,29.107763,-82.323619
"19",20238407010478,30.664638,-81.725982
"20",20242517010478,30.364438,-81.849022
"21",20243191010478,30.921527,-87.431096
"22",20244828010478,30.695359,-84.604812
"23",20248419010478,27.544667,-81.220934
"24",20249264010478,30.974064,-85.681206
"25",20256107010478,29.753549,-82.656463
"26",20257547010478,30.351536,-85.906007
"27",20260044010478,28.802947,-82.441381
"28",20260555010478,29.777368,-81.967688
"29",20262341010478,30.577981,-82.55941
"30",20262464010478,30.064205,-82.529616
"31",20357525010478,28.511403,-82.001884
"32",20358658010478,30.050159,-83.708236
"33",20363488010478,30.653676,-86.376489
"34",20366929010478,30.311956,-85.039446
"35",20634870010478,35.125854,-86.027752
"36",20635049010478,36.144769,-82.860695
"37",20635113010478,36.191196,-83.339845
"38",20635397010478,35.581902,-84.033052
"39",20635421010478,35.080648,-84.990173
"40",20635486010478,36.417018,-84.281996
"41",20635549010478,35.912855,-88.566242
"42",20635625010478,36.35411,-87.139553
"43",20635653010478,35.430736,-88.726934
"44",20635971010478,35.780912,-88.090247
"45",20635999010478,35.9966,-85.740208
"46",20636145010478,35.349291,-89.26801
"47",20636507010478,35.697086,-87.566283
"48",20636994010478,35.210908,-88.570283
"49",20637391010478,36.200421,-84.554649
"50",20637529010478,35.784715,-87.920918
"51",20637537010478,36.549368,-85.201869
"52",20637604010478,36.165254,-85.62967
"53",20638037010478,36.52211,-87.768917
"54",20638245010478,36.324721,-83.970446
"55",20643585010478,36.101986,-82.473679
"56",20643678010478,35.775277,-85.693456
"57",20643803010478,35.041849,-87.770451
"58",20643992010478,35.998185,-86.709827
"59",20644103010478,36.151586,-86.288036
"60",20649603010478,35.653469,-87.563304
"61",20649650010478,36.259162,-87.822177
"62",20649847010478,36.572838,-81.695906
"63",20650090010478,35.500182,-87.484456
"64",20650118010478,35.153952,-86.400487
"65",20650675010478,35.350605,-84.199052
"66",20651034010478,35.479843,-87.919079
"67",20651093010478,35.095703,-84.573899
"68",20651134010478,36.077155,-85.417609
"69",20651415010478,36.327694,-84.392862
"70",20651420010478,36.58373,-84.455528
"71",20651689010478,36.170095,-85.850001
"72",20652128010478,35.551717,-86.55955
"73",20652181010478,35.963609,-88.089447
