"","CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","VSTNBR","LAYER_TYPE","SAMPLER_TYPE","QASTATCD","SAMPLE_DATE","LAB_ID","SAMPLE_ID","FIELD_MOIST_SOIL_WT","AIR_DRY_SOIL_WT","OVEN_DRY_SOIL_WT","FIELD_MOIST_WATER_CONTENT_PCT","RESIDUAL_WATER_CONTENT_PCT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","COARSE_FRACTION_PCT","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","PH_H2O","PH_CACL2","EXCHNG_NA","EXCHNG_K","EXCHNG_MG","EXCHNG_CA","EXCHNG_AL","ECEC","EXCHNG_MN","EXCHNG_FE","EXCHNG_NI","EXCHNG_CU","EXCHNG_ZN","EXCHNG_CD","EXCHNG_PB","EXCHNG_S","BRAY1_P","OLSEN_P","MEASYEAR","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","STATE_REF"
"1",249885986010854,22339654010478,2003,1,3,36,2,1,"FF_TOTAL","SF",1,"2003-06-25","UMO","",29.72,28.14,26.47,5.61,6.3,12.28,NA,NA,30.2,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"2",249886080010854,22339654010478,2003,1,3,36,2,1,"MIN_1","BD",1,"2003-06-25","UMO","",327.67,296.49,294.88,10.52,0.5,11.12,1.63,7.8,1.21,NA,NA,0,4.97,4.16,7,23,10,46,58,1.05,3,9.1,0,0.1,1.3,0.1,1.4,2.9,1.8,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"3",249886114010854,22339654010478,2003,1,3,36,2,1,"MIN_2","BD",1,"2003-06-25","UMO","",339.64,317.02,316.18,7.14,0.3,7.42,1.75,8.2,0.36,NA,NA,0,5.23,4.57,2,12,4,12,34,0.51,1.7,2.6,0,0.2,0.3,0,1.6,7.6,2.7,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"4",249885987010854,22339654010478,2003,1,3,36,3,1,"FF_TOTAL","SF",1,"2003-06-25","UMO","",363.96,259.55,237.32,40.23,9.4,53.36,0.64,NA,44.8,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"5",249885988010854,22339654010478,2003,1,3,36,4,1,"FF_TOTAL","SF",1,"2003-06-25","UMO","",115.64,73.07,67.46,58.26,8.3,71.42,0.243,NA,47.9,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"6",249885959010854,22339758010478,2003,1,3,101,2,1,"FF_TOTAL","SF",1,"2003-07-24","UMO","",21.17,13.55,12.51,56.24,8.4,69.22,NA,NA,23.9,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"7",249886073010854,22339758010478,2003,1,3,101,2,1,"MIN_1","BD",1,"2003-07-24","UMO","",276.27,245.04,243.24,12.74,0.7,13.58,1.34,2.8,1.21,NA,NA,0.03,4.84,4.35,5,8,7,96,40,1.03,5.1,2.5,0.1,0,0.2,0,1.2,3.8,2.5,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"8",249886107010854,22339758010478,2003,1,3,101,2,1,"MIN_2","BD",1,"2003-07-24","UMO","",310.71,282.38,281.21,10.03,0.4,10.49,1.55,0.2,0.53,NA,NA,0,5.58,4.75,2,4,5,40,21,0.49,0.7,2.7,0,0,0,0,0.5,2.8,3.4,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"9",249885960010854,22339758010478,2003,1,3,101,3,1,"FF_TOTAL","SF",1,"2003-07-24","UMO","",5.68,5.16,4.59,10.08,12.3,23.75,NA,NA,14.2,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
"10",249885961010854,22339758010478,2003,1,3,101,4,1,"FF_TOTAL","SF",1,"2003-07-24","UMO","",48.47,37.66,35.62,28.7,5.7,36.08,0.192,NA,18.8,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,"2010-09-27",10854,"AL"
